Date, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
20120207,None,2.779333333,3.621333333,3.864666667,3.924666667,None,4.0795,None,4.375333333,None
20120208,None,2.7555,3.594833333,3.850666667,3.897833333,None,4.049833333,None,4.351333333,None
20120209,None,2.7595,3.571,3.8485,3.891,None,4.045,None,4.352166667,None
20120210,None,2.777,3.595,3.861166667,3.910833333,None,4.064666667,None,4.361833333,None
20120211,None,2.774,3.5975,3.873833333,3.922,None,4.070333333,None,4.3645,None
20120212,None,2.7615,3.543,3.859,3.911666667,None,4.071166667,None,4.36,None
20120213,None,2.7275,3.563833333,3.847166667,3.9055,None,4.062166667,None,4.343833333,None
20120214,None,2.722833333,3.550833333,3.8485,3.904,None,4.063166667,None,4.352166667,None
20120215,None,2.73,3.597166667,3.859333333,3.926,None,4.086833333,None,4.371,None
20120216,None,2.711166667,3.5955,3.871333333,3.927,None,4.0805,None,4.370333333,None
20120217,None,2.692333333,3.5885,3.852833333,3.919833333,None,4.078,None,4.3735,None
20120218,None,2.6765,3.577833333,3.873666667,3.932,None,4.075833333,None,4.368666667,None
20120219,None,2.669833333,3.586833333,3.850166667,3.932666667,None,4.086333333,None,4.3905,None
20120220,None,2.655166667,3.557166667,3.8815,3.9455,None,4.085,None,4.381833333,None
20120221,None,2.645333333,3.5375,3.874833333,3.943166667,None,4.092333333,None,4.389666667,None
20120222,None,2.627833333,3.555166667,3.8765,3.937666667,None,4.077,None,4.3755,None
20120223,None,2.611166667,3.572833333,3.849833333,3.921,None,4.069166667,None,4.377166667,None
20120224,None,2.591666667,3.581166667,3.853166667,3.921166667,None,4.066166667,None,4.371333333,None
20120225,None,2.595833333,3.595,3.871,3.929166667,None,4.071333333,None,4.376833333,None
20120226,None,2.576833333,3.586333333,3.871833333,3.936333333,None,4.0795,None,4.386333333,None
20120227,None,2.555666667,3.508833333,3.8975,3.946,None,4.079666667,None,4.373666667,None
20120228,None,2.550666667,3.544,3.8655,3.938,None,4.100333333,None,4.3875,None
20120229,None,2.509166667,3.595333333,3.851333333,3.925166667,None,4.077166667,None,4.364166667,None
20120301,None,2.472166667,3.5355,3.845666667,3.919833333,None,4.074666667,None,4.368833333,None
20120302,None,2.392666667,3.52,3.837,3.9085,None,4.0575,None,4.344333333,None
20120303,None,2.3285,3.470833333,3.870333333,3.93,None,4.070666667,None,4.339333333,None
20120304,None,2.289666667,3.434,3.861166667,3.939333333,None,4.087333333,None,4.353166667,None
20120305,None,2.258666667,3.461333333,3.854,3.949333333,None,4.1045,None,4.361666667,None
20120306,None,2.222666667,3.425,3.847666667,3.9375,None,4.088166667,None,4.342833333,None
20120307,None,2.237,3.444166667,3.8415,3.939333333,None,4.097333333,None,4.356166667,None
20120308,None,2.251666667,3.463,3.844,3.952333333,None,4.11,None,4.367333333,None
20120309,None,2.244333333,3.468166667,3.840833333,3.931833333,None,4.086666667,None,4.354,None
20120310,None,2.2435,3.474,3.833833333,3.929166667,None,4.088333333,None,4.348333333,None
20120311,None,2.252666667,3.461666667,3.865666667,3.952666667,None,4.1045,None,4.364833333,None
20120312,None,2.250166667,3.453833333,3.840833333,3.943166667,None,4.098166667,None,4.355166667,None
20120313,None,2.236166667,3.443666667,3.816,3.9058,None,4.083333333,None,4.3375,None
20120314,None,2.186833333,3.424166667,3.825,3.925833333,None,4.079333333,None,4.328,None
20120315,None,2.040833333,3.375333333,3.8035,3.903,None,4.056333333,None,4.306333333,None
20120316,None,1.954,3.293,3.7895,3.911833333,None,4.069666667,None,4.318,None
20120317,None,1.894666667,3.269666667,3.785833333,3.923833333,None,4.078833333,None,4.326,None
20120318,None,1.83,3.2635,3.781333333,3.91,None,4.08,None,4.332833333,None
20120319,None,1.790166667,3.221,3.8045,3.923833333,None,4.083,None,4.331666667,None
20120320,None,1.809666667,3.221166667,3.790333333,3.928166667,None,4.091666667,None,4.3545,None
20120321,None,1.609,3.117,3.752833333,3.8965,None,4.059833333,None,4.32,None
20120322,None,1.504833333,3.058666667,3.685833333,3.866166667,None,4.058166667,None,4.3165,None
20120323,None,1.509666667,3.003333333,3.685833333,3.870833333,None,4.0595,None,4.3055,None
20120324,None,1.409333333,2.933,3.657333333,3.842,None,4.011,None,4.252333333,None
20120325,None,1.472666667,2.955333333,3.608333333,3.845666667,None,4.018,None,4.284833333,None
20120326,None,1.5845,2.955333333,3.623666667,3.827,None,4.006166667,None,4.27,None
20120327,None,1.778833333,2.961333333,3.655666667,3.8675,None,4.0535,None,4.310833333,None
20120328,None,1.800666667,2.8705,3.6315,3.843166667,None,4.022166667,None,4.283666667,None
20120329,None,1.9095,2.783333333,3.6695,3.884166667,None,4.061666667,None,4.321666667,None
20120330,None,2.066333333,2.817166667,3.6185,3.875833333,None,4.070833333,None,4.326333333,None
20120331,None,2.256833333,2.895333333,3.6795,3.8885,None,4.065833333,None,4.3375,None
20120401,None,2.605333333,2.998666667,3.688833333,3.896333333,None,4.071166667,None,4.357,None
20120402,None,2.793166667,3.021,3.701166667,3.906,None,4.089666667,None,4.366666667,None
20120403,None,3.046666667,3.191833333,3.743,3.887833333,None,4.088666667,None,4.38,None
20120404,None,3.284833333,3.186666667,3.719,3.854166667,None,4.0745,None,4.3575,None
20120405,None,3.443166667,3.262166667,3.706333333,3.855666667,None,4.060333333,None,4.364666667,None
20120406,None,3.6285,3.479166667,3.742333333,3.883166667,None,4.097666667,None,4.387666667,None
20120407,None,3.721166667,3.476333333,3.752333333,3.880666667,None,4.107833333,None,4.399166667,None
20120408,None,3.822666667,3.469333333,3.721333333,3.848,None,4.077,None,4.376833333,None
20120409,None,4.031666667,3.541,3.719,3.852833333,None,4.082833333,None,4.38,None
20120410,None,4.125833333,3.606833333,3.7505,3.8955,None,4.121666667,None,4.405666667,None
20120411,None,4.1395,3.637666667,3.747,3.903666667,None,4.1225,None,4.406833333,None
20120412,None,4.078833333,3.636833333,3.717666667,3.892666667,None,4.108833333,None,4.397333333,None
20120413,None,4.046166667,3.661,3.695333333,3.8715,None,4.076166667,None,4.380166667,None
20120414,None,4.094666667,3.688166667,3.698166667,3.8885,None,4.080333333,None,4.3715,None
20120415,None,4.0355,3.703,3.643166667,3.840833333,None,4.045333333,None,4.359166667,None
20120416,None,None,3.730666667,3.740666667,3.92,None,4.120166667,None,4.407333333,None
20120417,None,3.899166667,3.7395,3.712666667,3.883166667,None,4.092166667,None,4.390666667,None
20120418,None,3.851166667,3.750166667,3.713333333,3.869666667,None,4.0715,None,4.3785,None
20120419,None,3.878833333,3.776333333,3.758,3.917,None,4.121833333,None,4.403166667,None
20120420,None,3.8705,3.789833333,3.755333333,3.898833333,None,4.100833333,None,4.393333333,None
20120421,None,3.857,3.787333333,3.758666667,3.884,None,4.083,None,4.374,None
20120422,None,3.763,3.799833333,3.752666667,3.8695,None,4.0755,None,4.369666667,None
20120423,None,3.738166667,3.814833333,3.787666667,3.904333333,None,4.119,None,4.423166667,None
20120424,None,3.703166667,3.832833333,3.794166667,3.888166667,None,4.1,None,4.3885,None
20120425,None,3.543,3.856,3.789,3.843166667,None,4.047666667,None,4.349,None
20120426,None,3.472333333,3.902833333,3.861833333,3.898666667,None,4.109,None,4.404333333,None
20120427,None,3.162,3.945833333,3.856333333,3.877833333,None,4.088,None,4.380666667,None
20120428,None,3.034,3.8875,3.849166667,3.874666667,None,4.0595,None,4.3535,None
20120429,None,3.186166667,3.735833333,3.846833333,3.829666667,None,4.037166667,None,4.341166667,None
20120430,None,3.914166667,3.835166667,3.800833333,3.827833333,None,4.008333333,None,4.327833333,None
20120501,None,4.269666667,3.964166667,3.869333333,3.837833333,None,4.026666667,None,4.325166667,None
20120502,None,4.274,4.183,3.9385,3.823666667,None,4.007166667,None,4.312333333,None
20120503,None,5.392833333,4.813166667,4.325666667,4.196666667,None,4.152666667,None,4.234833333,None
20120504,None,5.9775,5.605166667,4.891,4.444333333,None,4.171833333,None,4.180333333,None
20120505,None,6.818833333,6.462666667,5.606,4.831833333,None,4.242666667,None,4.252833333,None
20120506,None,6.503166667,6.443833333,6.1525,5.588666667,None,4.603,None,4.234,None
20120507,None,6.163,6.124833333,5.892666667,5.677666667,None,5.129,None,4.648166667,None
20120508,None,7.1305,6.2905,5.885666667,5.616666667,None,5.167166667,None,4.784333333,None
20120509,None,7.142166667,6.722166667,6.2865,5.993666667,None,5.407,None,4.9435,None
20120510,None,7.0555,6.999,6.857666667,6.727666667,None,5.731166667,None,5.027,None
20120511,None,7.6245,7.549333333,7.233,6.994,None,5.705166667,None,5.099,None
20120512,None,7.915166667,7.729333333,7.2635,6.9105,None,5.777,None,5.291166667,None
20120513,None,7.7865,7.7315,7.542333333,7.132,None,6.177833333,None,5.3995,None
20120514,None,7.702666667,7.615166667,7.490833333,7.158833333,None,6.408333333,None,5.573,None
20120515,None,7.538333333,7.522833333,7.477666667,7.458,None,6.828,None,5.743,None
20120516,None,7.87,7.846166667,7.757666667,7.592333333,None,7.284833333,None,6.122833333,None
20120517,None,8.43,8.29,8.050166667,7.799666667,None,7.244166667,None,6.225166667,None
20120518,None,None,8.295,7.9554,7.700833333,None,7.115,None,6.432166667,None
20120519,None,8.835,8.06275,7.770333333,7.532333333,None,7.0255,None,6.489833333,None
20120520,None,9.251666667,8.115,7.735666667,7.466333333,None,7.048166667,None,6.5535,None
20120521,None,10.19666667,8.366666667,7.733666667,7.4415,None,6.951833333,None,6.581666667,None
20120522,None,11.38666667,8.531666667,7.776833333,7.511333333,None,6.987833333,None,6.556833333,None
20120523,None,11.66833333,8.668333333,7.676,7.423333333,None,6.898833333,None,6.469333333,None
20120524,None,11.77166667,8.841666667,7.63,7.309666667,None,6.789,None,6.438666667,None
20120525,None,12.61,8.925,7.6535,7.3325,None,6.760833333,None,6.448833333,None
20120526,None,13.21333333,8.78,7.578666667,7.266833333,None,6.752,None,6.431,None
20120527,None,13.74,9.023333333,7.683333333,7.338166667,None,6.818833333,None,6.436166667,None
20120528,None,16.08,9.378333333,7.692,7.262,None,6.761,None,6.4135,None
20120529,None,16.44333333,9.556666667,7.816833333,7.381833333,None,6.836666667,None,6.495166667,None
20120530,None,15.41166667,9.79,7.759333333,7.335,None,6.8405,None,6.579,None
20120531,None,14.93333333,9.953333333,7.833666667,7.377333333,None,6.841833333,None,6.548,None
20120601,None,14.17333333,10.31333333,7.887166667,7.395333333,None,6.858666667,None,6.545,None
20120602,None,13.35,11.44666667,8.007,7.446,None,6.859833333,None,6.571666667,None
20120603,None,12.33666667,11.83,7.8665,7.360833333,None,6.824,None,6.530166667,None
20120604,None,11.165,11.11833333,8.558333333,7.422666667,None,6.880166667,None,6.5575,None
20120605,None,11.19166667,10.79833333,9.039833333,7.416333333,None,6.855833333,None,6.530666667,None
20120606,None,11.44333333,10.755,9.155,7.741,None,6.910833333,None,6.5545,None
20120607,None,11.51333333,10.80333333,9.11,7.550833333,None,6.833833333,None,6.539666667,None
20120608,None,None,10.70666667,8.91,7.632666667,None,6.839333333,None,None,None
20120612,None,None,12.62,8.77,7.275666667,None,6.676666667,None,None,None
20120613,None,None,12.40333333,9.163333333,7.692,None,6.884666667,None,None,None
20120614,None,None,12.47666667,8.736666667,7.514333333,None,6.820333333,None,None,None
20120615,None,None,12.275,9.328333333,7.801333333,None,6.898166667,None,6.602833333,None
20120616,None,14.255,12.495,9.486666667,7.709666667,None,6.838666667,None,6.566,None
20120617,None,13.72833333,12.86666667,9.688333333,7.9835,None,6.947666667,None,6.648166667,None
20120618,None,13.44,12.55333333,9.473333333,7.899333333,None,6.8495,None,6.596833333,None
20120619,None,14.055,13.00666667,9.6,7.929666667,None,6.859666667,None,6.589833333,None
20120620,None,14.70833333,13.59,9.888333333,7.8648,None,6.814166667,None,6.545666667,None
20120621,None,15.21333333,13.52833333,9.77,7.8155,None,6.76,None,6.478666667,None
20120622,None,15.73833333,13.67166667,9.766666667,7.7915,None,6.745666667,None,6.4645,None
20120623,None,16.35333333,13.75833333,9.856666667,7.956166667,None,6.839166667,None,6.525333333,None
20120624,None,15.90833333,14.725,10.24166667,8.085833333,None,6.8725,None,6.566166667,None
20120625,None,15.15333333,14.65166667,10.09166667,7.981333333,None,6.8965,None,6.554666667,None
20120626,None,None,14.715,10.73333333,8.063666667,None,6.902333333,None,None,None
20120703,None,None,14.07333333,11.16333333,8.557,None,6.852666667,None,None,None
20120704,None,15.645,14.66666667,11.36833333,8.295,None,6.904833333,None,6.558666667,None
20120705,None,16.29666667,14.75,11.48,8.215,None,6.825166667,None,6.499166667,None
20120706,None,17.08333333,14.90166667,11.22833333,8.14,None,6.810333333,None,6.486833333,None
20120707,None,17.795,15.00166667,11.14833333,8.1045,None,6.819333333,None,6.507333333,None
20120708,None,17.62333333,14.87666667,11.28166667,8.271666667,None,6.924,None,6.569166667,None
20120709,None,17.03666667,14.835,11.48166667,8.421666667,None,6.889333333,None,6.5335,None
20120710,None,16.91,14.93166667,11.64,8.503333333,None,6.913166667,None,6.522166667,None
20120711,None,17.10666667,14.97333333,11.915,8.536666667,None,6.840333333,None,6.502833333,None
20120712,None,17.16666667,14.82833333,12.095,8.535,None,6.876,None,6.534,None
20120713,None,16.39333333,14.67166667,12.01333333,8.696666667,None,6.938,None,6.579166667,None
20120714,None,16.155,14.475,11.89,8.981666667,None,6.9525,None,6.540166667,None
20120715,None,16.77666667,14.48833333,12.37333333,9.03,None,6.9265,None,6.515666667,None
20120716,None,16.915,14.545,11.815,8.811666667,None,6.935,None,6.4915,None
20120717,None,16.46333333,14.89,11.83333333,8.791666667,None,6.9305,None,6.525333333,None
20120718,None,16.2,15.06,11.74666667,8.802,None,6.883333333,None,6.490333333,None
20120719,None,15.755,15.27333333,11.66166667,8.428333333,None,6.894666667,None,6.5145,None
20120720,None,15.58833333,15.08166667,11.48666667,8.598333333,None,6.886833333,None,6.535,None
20120721,None,15.85333333,14.915,11.57833333,8.743333333,None,6.905666667,None,6.5635,None
20120722,None,16.06333333,14.79166667,11.61666667,8.608333333,None,6.8735,None,6.490833333,None
20120723,None,15.69833333,14.84166667,11.69833333,8.69,None,6.939,None,6.542333333,None
20120724,None,15.51666667,14.87833333,11.645,8.611666667,None,6.923,None,6.569666667,None
20120725,None,15.86833333,15.11666667,11.56,8.673,None,6.922833333,None,6.511833333,None
20120726,None,16.66333333,14.96166667,11.61666667,8.685,None,6.886666667,None,6.513666667,None
20120727,None,16.65666667,15.19333333,11.59666667,8.72,None,6.870833333,None,6.471,None
20120728,None,17.86833333,15.07833333,11.85,8.731666667,None,6.890333333,None,6.573833333,None
20120729,None,17.38333333,15.16166667,11.54833333,8.648333333,None,7.014666667,None,6.618833333,None
20120730,None,16.775,15.055,11.40833333,8.668,None,6.865666667,None,6.534,None
20120731,None,17.34833333,14.955,12.17666667,8.898333333,None,6.933833333,None,6.583333333,None
20120801,None,17.52666667,15.29333333,12.025,9.038333333,None,7.036166667,None,6.5845,None
20120802,None,17.15166667,15.68,11.86,9.032,None,7.0235,None,6.5915,None
20120803,None,16.81333333,15.53333333,11.97833333,8.985,None,6.975833333,None,6.621,None
20120804,None,16.47,15.20333333,11.96166667,9.19,None,6.993666667,None,6.560333333,None
20120805,None,16.99333333,15.27333333,12.07833333,9.221666667,None,6.9635,None,6.546666667,None
20120806,None,17.28666667,15.23333333,11.87,9.281666667,None,7.0085,None,6.590333333,None
20120807,None,16.725,15.24166667,12.24166667,9.113333333,None,7.02,None,6.6425,None
20120808,None,16.15166667,15.30166667,12.11833333,9.095,None,7.0185,None,6.649833333,None
20120809,None,15.95166667,14.89833333,11.995,9.12,None,7.044666667,None,6.621,None
20120810,None,15.775,14.855,12.24666667,8.874833333,None,6.9485,None,6.574333333,None
20120811,None,15.985,14.79666667,11.96166667,9.038,None,7.019833333,None,6.601833333,None
20120812,None,15.79333333,14.73333333,11.91833333,9.043333333,None,6.921666667,None,6.568666667,None
20120813,None,17.14833333,14.79666667,11.94666667,8.743333333,None,6.872333333,None,6.548833333,None
20120814,None,None,14.67,11.94333333,9.06,None,7.005333333,None,None,None
20120824,None,None,15.88,12.33333333,9.583333333,None,7.163,None,None,None
20120825,None,16.71166667,15.48833333,12.28333333,9.623333333,None,7.171333333,None,6.6785,None
20120826,None,16.41166667,15.28166667,12.34666667,9.47,None,7.178166667,None,6.696333333,None
20120827,None,16.11333333,15.22833333,12.285,9.348333333,None,7.163666667,None,6.7315,None
20120828,None,15.17166667,14.65833333,12.22,9.501666667,None,7.136333333,None,6.702833333,None
20120829,None,14.73166667,14.305,12.51833333,9.333333333,None,7.2455,None,6.819,None
20120830,None,13.94166667,13.72833333,12.775,9.618333333,None,7.201333333,None,6.722666667,None
20120831,None,13.93,13.73333333,12.87333333,9.478333333,None,7.204833333,None,6.788166667,None
20120901,None,13.63166667,13.4,12.965,9.666666667,None,7.172666667,None,6.751833333,None
20120902,None,13.61333333,13.455,12.62166667,9.843333333,None,7.183833333,None,None,None
20120903,None,14.19333333,14.08666667,12.82833333,9.608333333,None,7.232833333,None,6.775166667,None
20120904,None,13.805,13.55333333,12.82666667,9.708333333,None,7.195666667,None,6.779,None
20120905,None,14.12166667,13.83166667,12.87833333,9.901666667,None,7.217333333,None,6.827666667,None
20120906,None,13.425,13.37,13.21833333,10.626,None,7.275333333,None,6.87,None
20120907,None,12.40833333,12.315,12.18166667,11.22,None,7.227833333,None,6.870666667,None
20120908,None,12.04,11.89333333,11.605,11.02833333,None,7.345166667,None,6.899166667,None
20120909,None,11.685,11.615,11.49,11.095,None,7.3195,None,6.9055,None
20120910,None,11.29666667,11.21833333,11.13166667,10.90833333,None,7.245833333,None,6.8785,None
20120911,None,11.51,11.47333333,11.34833333,10.85666667,None,7.379166667,None,6.903333333,None
20120912,None,11.65666667,11.64166667,11.55833333,11.10166667,None,7.391,None,6.9055,None
20120913,None,None,11.19333333,11.2,10.98666667,None,7.471333333,None,None,None
20120918,None,None,10.11,9.986666667,9.816666667,None,8.409,None,None,None
20120919,None,9.76,9.723333333,9.728333333,9.648333333,None,8.921666667,None,7.018,None
20120920,None,9.696666667,9.631666667,9.518333333,9.363333333,None,8.965,None,6.994,None
20120921,None,9.416666667,9.253333333,9.218333333,9.178,None,8.896666667,None,7.020666667,None
20120922,None,8.878333333,8.81,8.666666667,8.628333333,None,8.431666667,None,7.056666667,None
20120923,None,8.466666667,8.431666667,8.425,8.415,None,8.286666667,None,7.305,None
20120924,None,8.121666667,8.0805,8.0886,8.050333333,None,8.008,None,7.959833333,None
20120925,None,8.108666667,8.042333333,7.965333333,7.917666667,None,7.852833333,None,7.805,None
20120926,None,7.943333333,7.891833333,7.882,7.853833333,None,7.808833333,None,7.782,None
20120927,None,7.752,7.677333333,7.666,7.641833333,None,7.605333333,None,7.532,None
20120928,None,7.795833333,7.6265,7.517666667,7.491166667,None,7.441833333,None,7.3895,None
20120929,None,None,7.795666667,7.598,7.521666667,None,7.465,None,None,None
20121002,None,None,8.061666667,7.976666667,7.551333333,None,7.328666667,None,None,None
20121003,None,8.016833333,8.001333333,7.9858,7.821333333,None,7.428333333,None,7.342,None
20121004,None,7.815666667,7.8015,7.795833333,7.753666667,None,7.561666667,None,7.420333333,None
20121005,None,7.693666667,7.668333333,7.666833333,7.64,None,7.597666667,None,7.548333333,None
20121006,None,7.515333333,7.3755,7.355833333,7.3275,None,7.245666667,None,7.169166667,None
20121007,None,7.157666667,7.100833333,7.049833333,7.011666667,None,6.948333333,None,6.913,None
20121008,None,6.763833333,6.735333333,6.745166667,6.746666667,None,6.729666667,None,6.723833333,None
20121009,None,6.2925,6.281166667,6.261333333,6.257,None,6.251333333,None,None,None
20121010,None,6.054666667,6.043666667,6.054666667,6.066333333,None,6.063333333,None,6.063333333,None
20121011,None,5.958333333,5.921333333,5.847666667,5.745666667,None,5.581333333,None,5.536,None
20121012,None,5.569166667,5.485333333,5.515166667,5.477,None,5.421666667,None,5.3325,None
20121013,None,5.191666667,5.149,5.165833333,5.163166667,None,5.120666667,None,5.014166667,None
20121014,None,None,5.012333333,5.037666667,5.040333333,None,5.001,None,None,None
20121015,None,None,4.593666667,4.616333333,4.613666667,None,4.605333333,None,None,None
20121016,None,4.2445,4.224666667,4.247333333,4.243166667,None,4.2305,None,4.226166667,None
20121017,None,4.051166667,4.0412,4.041333333,4.0385,None,4.035666667,None,4.063833333,None
20121018,None,3.991333333,3.972833333,3.974666667,3.966166667,None,3.957333333,None,None,None
20121019,None,4.0385,4.0455,4.017,4.009833333,None,4.001333333,None,4.039833333,None
20121020,None,4.079166667,4.076333333,4.077666667,4.087833333,None,4.077833333,None,4.107666667,None
20121021,None,4.014,4.004166667,4.014166667,4.021166667,None,4.0255,None,4.106666667,None
20121022,None,3.995,3.996333333,4.019166667,4.023333333,None,4.026166667,None,4.064666667,None
20121023,None,3.883833333,3.876666667,3.918,3.925333333,None,3.948,None,3.989333333,None
20121024,None,3.598,3.719,3.812833333,3.831166667,None,3.866833333,None,3.925166667,None
20121025,None,3.415833333,3.515333333,3.617833333,3.6605,None,3.7415,None,3.8695,None
20121026,None,3.418333333,3.508,3.606333333,3.660166667,None,3.759833333,None,3.838166667,None
20121027,None,3.2395,3.242166667,3.373,3.451666667,None,3.557166667,None,3.781833333,None
20121028,None,3.004166667,3.089666667,3.267666667,3.359,None,3.455666667,None,3.625,None
20121029,None,2.975666667,3.0395,3.233333333,3.353,None,3.532333333,None,3.710333333,None
20121030,None,3.038833333,3.111333333,3.238166667,3.336666667,None,3.5475,None,3.7835,None
20121031,None,3.042666667,3.074,3.265,3.360333333,None,3.537166667,None,3.839,None
20121101,None,3.106333333,3.167666667,3.328666667,3.424166667,None,3.563666667,None,3.895333333,None
20121102,None,3.103333333,3.2215,3.3195,3.410666667,None,3.561666667,None,3.9045,None
20121103,None,3.108833333,3.227166667,3.348166667,3.4335,None,3.595666667,None,3.914333333,None
20121104,None,3.091333333,3.230833333,3.346,3.445666667,None,3.652,None,3.898,None
20121105,None,3.074833333,3.247166667,3.373666667,3.463333333,None,3.654,None,3.908666667,None
20121106,None,3.048166667,3.244833333,3.39,3.474166667,None,3.666333333,None,4.006166667,None
20121107,None,3.067833333,3.246,3.436666667,3.513833333,None,3.7,None,3.9905,None
20121108,None,3.102833333,3.291,3.454666667,3.542833333,None,3.740666667,None,4.036666667,None
20121109,None,3.1355,3.322,3.4575,3.535666667,None,3.7265,None,4.003833333,None
20121110,None,3.171833333,3.3555,3.4765,3.550666667,None,3.742333333,None,4.007333333,None
20121111,None,3.2155,3.404666667,3.480333333,3.552833333,None,3.733333333,None,4.017833333,None
20121112,None,2.556666667,3.3545,3.413166667,3.484166667,None,3.680333333,None,3.981666667,None
20121113,None,2.018,3.164,3.428833333,3.490166667,None,3.670833333,None,3.9595,None
20121114,None,2.243333333,3.2785,3.433666667,3.495,None,3.684333333,None,4.0115,None
20121115,None,2.4785,3.313333333,3.4185,3.503833333,None,3.714666667,None,3.966333333,None
20121116,None,2.647666667,3.335833333,3.448166667,3.529333333,None,3.732833333,None,4.030166667,None
20121117,None,2.763166667,3.342833333,3.442666667,3.531166667,None,3.730166667,None,4.041666667,None
20121118,None,2.830833333,3.385833333,3.455833333,3.5355,None,3.732833333,None,4.061666667,None
20121119,None,2.858,3.358166667,3.464666667,3.534666667,None,3.738,None,4.063666667,None
20121120,None,2.898166667,3.364,3.4765,3.556333333,None,3.749833333,None,4.0855,None
20121121,None,2.9025,3.413333333,3.4665,3.5545,None,3.758,None,4.072,None
20121122,None,2.863666667,3.421666667,3.481666667,3.555666667,None,3.750333333,None,4.083166667,None
20121123,None,2.408666667,3.365833333,3.4655,3.548166667,None,3.73,None,4.062833333,None
20121124,None,2.332833333,3.35,3.479666667,3.556333333,None,3.734333333,None,4.067,None
20121125,None,2.206666667,3.321333333,3.499166667,3.571833333,None,3.74,None,4.091,None
20121126,None,2.3555,3.316333333,3.493166667,3.571333333,None,3.753666667,None,4.102,None
20121127,None,2.537833333,3.367333333,3.508333333,3.585,None,3.765833333,None,4.139833333,None
20121128,None,2.676166667,3.384333333,3.522166667,3.600666667,None,3.787166667,None,4.168,None
20121129,None,2.7465,3.3775,3.524166667,3.598166667,None,3.783333333,None,4.1585,None
20121130,None,2.8025,3.373833333,3.547666667,3.614166667,None,3.8065,None,4.185,None
20121201,None,2.830833333,3.349666667,3.562166667,3.631833333,None,3.797166667,None,4.201333333,None
20121202,None,2.850833333,3.352666667,3.5565,3.622166667,None,3.8215,None,4.207,None
20121203,None,2.846333333,3.278833333,3.564,3.629666667,None,3.832,None,4.206666667,None
20121204,None,2.862,3.283166667,3.578666667,3.6385,None,3.8495,None,4.215833333,None
20121205,None,2.860166667,3.278833333,3.572833333,3.645333333,None,3.846333333,None,4.215833333,None
20121206,None,2.871833333,3.341166667,3.585,3.658833333,None,3.8585,None,4.234333333,None
20121207,None,2.860833333,3.310166667,3.5915,3.655333333,None,3.862333333,None,4.245333333,None
20121208,None,2.866666667,3.335,3.583,3.655833333,None,3.873833333,None,4.2525,None
20121209,None,2.854666667,3.334166667,3.595,3.662166667,None,3.878666667,None,4.259,None
20121210,None,2.862166667,3.374166667,3.598,3.669166667,None,3.865833333,None,4.265833333,None
20121211,None,2.839,3.345333333,3.5935,3.660333333,None,3.854333333,None,4.263,None
20121212,None,2.828833333,3.32,3.595333333,3.669333333,None,3.873333333,None,4.263833333,None
20121213,None,2.8145,3.346833333,3.602,3.676166667,None,3.889833333,None,4.267333333,None
20121214,None,2.8205,3.376833333,3.607666667,3.684833333,None,3.901333333,None,4.285833333,None
20121215,None,2.8055,3.411166667,3.613666667,3.6835,None,3.909833333,None,4.287166667,None
20121216,None,2.8,3.425833333,3.610833333,3.692166667,None,3.9255,None,4.2955,None
20121217,None,2.797166667,3.468333333,3.626333333,3.7045,None,3.9465,None,4.317666667,None
20121218,None,2.780833333,3.4675,3.62,3.708,None,3.9455,None,4.306833333,None
20121219,None,2.775166667,3.459166667,3.634166667,3.713833333,None,3.95,None,4.323833333,None
20121220,None,2.748666667,3.414333333,3.626666667,3.702166667,None,3.9085,None,4.307,None
20121221,None,2.731166667,3.332666667,3.625,3.707666667,None,3.928833333,None,4.310666667,None
20121222,None,2.744166667,3.369666667,3.646333333,3.734666667,None,3.967,None,4.336166667,None
20121223,None,2.725166667,3.4195,3.641833333,3.731666667,None,3.963666667,None,4.328,None
20121224,None,2.715,3.4395,3.651666667,3.740333333,None,3.979166667,None,4.340666667,None
20121225,None,2.700833333,3.431,3.648833333,3.734333333,None,3.9835,None,4.343333333,None
20121226,None,2.6915,3.443,3.652166667,3.741833333,None,3.9795,None,4.349666667,None
20121227,None,2.678666667,3.451166667,3.656166667,3.745833333,None,3.938166667,None,4.359,None
20121228,None,2.656666667,3.395333333,3.6635,3.746166667,None,3.956666667,None,4.371166667,None
20121229,None,2.666333333,3.411,3.666333333,3.760166667,None,3.995166667,None,4.376833333,None
20121230,None,2.659166667,3.471666667,3.6725,3.7635,None,4.004,None,4.368,None
20121231,None,2.634166667,3.496166667,3.659666667,3.763666667,None,3.9998,None,4.3365,None
20130101,None,2.626833333,3.4875,3.672666667,3.7765,None,4.011166667,None,4.342333333,None
20130102,None,2.601333333,3.4495,3.6785,3.778166667,None,3.997166667,None,4.351333333,None
20130103,None,2.5985,3.425333333,3.681833333,3.771666667,None,3.998,None,4.332333333,None
20130104,None,2.593166667,3.4695,3.677333333,3.775833333,None,3.980333333,None,4.351666667,None
20130105,None,2.587666667,3.481,3.690166667,3.774,None,4.0045,None,4.344166667,None
20130106,None,2.568333333,3.453333333,3.684,3.769,None,4.0265,None,4.3425,None
20130107,None,2.565833333,3.438333333,3.687333333,3.779833333,None,4.053166667,None,4.354666667,None
20130108,None,2.555166667,3.447333333,3.679166667,3.7775,None,4.048,None,4.343666667,None
